neg_dic,Up,Down,total,Polarity Score,Polarity
마이너스/NNG,603,597,1200,0.6585832414816529,Dovish
달라지/VA,70,65,135,0.7021863416639438,Dovish
서둘러라/VV,5,28,33,0.1164339597146845,Dovish
구조법/NNG,12,15,27,0.5216241395217868,Dovish
저축률/NNG,35,80,115,0.2852632013009771,Dovish
안내/NNG,200,205,405,0.6361269994168132,Dovish
순차입/NNG,75,76,151,0.6434508300022042,Dovish
시가총액비중/NNG,11,12,23,0.5976943265353807,Dovish
대외/NNG;충격/NNG,13,19,32,0.4461259088015282,Dovish
디에프/NNG,3,24,27,0.0815037718002791,Dovish
물질/NNG,21,40,61,0.3423158415611726,Dovish
펼쳐지/VV,29,26,55,0.727264425294799,Dovish
천주/NNG,1,21,22,0.0310490559239158,Dovish
떠돌/VV,11,10,21,0.7172331918424568,Dovish
나타난다고/VV,9,8,17,0.7335339462025127,Dovish
강등/NNG,84,132,216,0.4149282928014213,Dovish
열거/NNG,8,11,19,0.4742037632016244,Dovish
거시/NNG;불확실성/NNG,32,33,65,0.6322716842688325,Dovish
정책/NNG;여력/NNG;확보/NNG,10,10,20,0.6520301744022335,Dovish
주호/NNG,14,15,29,0.6085614961087512,Dovish
주의/NNG,231,206,437,0.7311600499364852,Dovish
위험/NNG;높/VA,39,37,76,0.6872750486942462,Dovish
정확/MAG,79,78,157,0.6603895356125185,Dovish
채무액/NNG,4,14,18,0.1862943355434952,Dovish
연체율/NNG;오르/VV,77,72,149,0.6973100476246108,Dovish
물꼬/NNG,21,20,41,0.6846316831223452,Dovish
때로/MAG,13,13,26,0.6520301744022335,Dovish
상해/NNG,29,38,67,0.4976019752017045,Dovish
도루/NNG,6,12,18,0.3260150872011167,Dovish
아베노믹스/NNG,28,45,73,0.4057076640725008,Dovish
크로스/NNG,12,11,23,0.7113056448024364,Dovish
부작용/NNG;우려/NNG,11,15,26,0.4781554612283045,Dovish
견해/NNG,715,841,1556,0.5543419437545742,Dovish
rbc비율/NNG,11,10,21,0.7172331918424568,Dovish
신용위험/NNG,359,351,710,0.6668912609982958,Dovish
보베스파/NNG,7,19,26,0.2402216432008228,Dovish
전문직/NNG,16,30,46,0.3477494263478579,Dovish
政策/NNG,14,17,31,0.5369660259783099,Dovish
입출/NNG,114,114,228,0.6520301744022334,Dovish
심리/NNG;양호/NNG,4,20,24,0.1304060348804467,Dovish
청시/NNG,5,17,22,0.1917735807065392,Dovish
순차입금/NNG,8,25,33,0.2086496558087147,Dovish
장단점/NNG,8,10,18,0.5216241395217869,Dovish
어감/NNG,19,30,49,0.4129524437880812,Dovish
타협/NNG,17,22,39,0.5038414984017259,Dovish
일조/NNG,55,51,106,0.7031697959239773,Dovish
투기지역/NNG,6,12,18,0.3260150872011167,Dovish
금전신탁/NNG,62,69,131,0.5858821856947606,Dovish
일드커브/NNG;스티프닝/NNG,6,12,18,0.3260150872011167,Dovish
실트/NNG,8,15,23,0.3477494263478579,Dovish
대출비중/NNG;확대/NNG,4,20,24,0.1304060348804467,Dovish
순간/NNG,63,67,130,0.6131029998110553,Dovish
해킹/NNG,15,26,41,0.376171254462827,Dovish
신청일/NNG,20,45,65,0.2897911886232149,Dovish
파산보호신청/NNG,7,20,27,0.2282105610407817,Dovish
보좌관/NNG,11,14,25,0.512309422744612,Dovish
위험/NNG;부담/NNG,13,20,33,0.4238196133614518,Dovish
수령액/NNG,10,15,25,0.4346867829348223,Dovish
필립스곡선/NNG,18,17,35,0.6903848905435414,Dovish
상대국/NNG,27,48,75,0.3667669731012563,Dovish
일단락/NNG,41,37,78,0.7225199229862587,Dovish
장래/NNG,15,16,31,0.6112782885020939,Dovish
기준점/NNG,38,36,74,0.6882540729801354,Dovish
소나/NNG,17,49,66,0.2262145503028157,Dovish
대사/NNG,11,29,40,0.2473217902905023,Dovish
계동/NNG,6,18,24,0.2173433914674111,Dovish
금소/NNG,22,20,42,0.7172331918424568,Dovish
약간/NNG,65,78,143,0.5433584786685279,Dovish
선배/NNG,9,8,17,0.7335339462025127,Dovish
해방/NNG,8,13,21,0.4012493380936822,Dovish
복귀/NNG,148,133,281,0.7255674121167711,Dovish
효과/NNG,2482,2180,4662,0.7423572903056622,Dovish
조회/NNG,139,137,276,0.6615488630796383,Dovish
가져갈/VV,41,37,78,0.7225199229862587,Dovish
호피/NNG,6,11,17,0.3556528224012182,Dovish
국제/NNG;유가/NNG;하락/NNG,48,57,105,0.5490780416018808,Dovish
생계/NNG,37,36,73,0.6701421236911844,Dovish
금리/NNG;인상/NNG;배제/NNG,37,32,69,0.7539098891525825,Dovish
효용/NNG,13,16,29,0.5297745167018147,Dovish
주저앉/VV,34,32,66,0.6927820603023731,Dovish
볶음/NNG,17,29,46,0.3822245849944127,Dovish
정치/NNG,670,603,1273,0.7244779715580373,Dovish
원사/NNG,6,16,22,0.2445113154008375,Dovish
예상/NNG;금리/NNG;인하/NNG,27,24,51,0.7335339462025127,Dovish
불안/NNG;금리/NNG;인하/NNG,16,14,30,0.7451773421739811,Dovish
하락/NNG;제한/NNG,28,30,58,0.6085614961087512,Dovish
고용/NNG;감소/NNG,16,14,30,0.7451773421739811,Dovish
혁신성장/NNG,38,42,80,0.5899320625544018,Dovish
원화/NNG;환율/NNG;오르/VV,33,36,69,0.5976943265353807,Dovish
유행/NNG,113,100,213,0.7367940970745238,Dovish
금괴/NNG,10,9,19,0.7244779715580372,Dovish
