pos_dic,Up,Down,total,Polarity Score,Polarity
보충/NNG,50,25,75,1.3040603488044669,Hawkish
성급/NNG,53,24,77,1.439899968471599,Hawkish
반값/NNG,32,9,41,2.318329508985719,Hawkish
밝힐/VV,15,7,22,1.3972075165762146,Hawkish
전세가격/NNG;하락/NNG,16,4,20,2.608120697608934,Hawkish
저리/NNG,160,58,218,1.798703929385472,Hawkish
이루어져/VV,19,7,26,1.7697961876632051,Hawkish
내수/NNG;진작/NNG,26,13,39,1.304060348804467,Hawkish
식품기업/NNG,26,12,38,1.4127320445381726,Hawkish
구하/VV,134,41,175,2.131025448046324,Hawkish
순이익/NNG;늘/VV,55,16,71,2.241353724507678,Hawkish
공급/NNG;과잉/NNG;우려/NNG,26,1,27,16.952784534458072,Hawkish
원수/NNG,31,14,45,1.4437811004620884,Hawkish
대손비용/NNG;증가/NNG,32,13,45,1.6049973523747287,Hawkish
상고하저/NNG,33,15,48,1.4344663836849136,Hawkish
종합과세/NNG,25,11,36,1.481886760005076,Hawkish
국무원/NNG,28,14,42,1.3040603488044669,Hawkish
집합건물/NNG,31,11,42,1.8375395824062943,Hawkish
적자/NNG;줄/VV,29,7,36,2.701267865380682,Hawkish
미성년/NNG,18,3,21,3.912181046413401,Hawkish
수탁은행/NNG,23,1,24,14.996694011251371,Hawkish
침체/NNG;빠지/VV,24,10,34,1.5648724185653602,Hawkish
선과/NNG,16,4,20,2.608120697608934,Hawkish
상방/NNG,312,144,456,1.4127320445381726,Hawkish
도급계약/NNG,30,4,34,4.890226308016751,Hawkish
산다/VV,15,7,22,1.3972075165762146,Hawkish
어둡/VA,70,30,100,1.521403740271878,Hawkish
사생활/NNG,18,6,24,1.9560905232067003,Hawkish
고객비중/NNG,23,6,29,2.4994490018752287,Hawkish
포기/NNG,181,88,269,1.341107517804594,Hawkish
엄정히/MAG,17,6,23,1.847418827472995,Hawkish
반경/NNG,21,7,28,1.9560905232067007,Hawkish
겸임/NNG,50,11,61,2.963773520010152,Hawkish
품종/NNG,21,1,22,13.692633662446903,Hawkish
반군/NNG,14,5,19,1.8256844883262535,Hawkish
지수/NNG;높/VA,27,9,36,1.9560905232067003,Hawkish
농촌/NNG,65,24,89,1.7659150556727157,Hawkish
탈취/NNG,14,5,19,1.8256844883262535,Hawkish
쏠린다/VV,124,41,165,1.971993698192121,Hawkish
의향/NNG,59,4,63,9.617445072432943,Hawkish
발걸음/NNG,24,10,34,1.5648724185653602,Hawkish
일어나/VV,281,137,418,1.337375759175384,Hawkish
